(1, 0.0153753363058773)
(2, 0.02586344823520991)
(3, 0.03411794178697891)
(4, 0.041401937627101516)
(5, 0.04772280395946225)
(6, 0.05399419806574122)
(7, 0.05921088641597932)
(8, 0.0641960026441326)
(9, 0.06888533811635025)
(10, 0.0735062545524974)
(11, 0.07788296765990055)
(12, 0.08169759207097053)
(13, 0.0854332714404207)
(14, 0.08913210979044828)
(15, 0.09244780153848096)
(16, 0.09590033135865468)
(17, 0.09912128905674358)
(18, 0.10238014037481)
(19, 0.10576004075669349)
(20, 0.10864416627720445)
(21, 0.1111198827824022)
(22, 0.11401453430846249)
(23, 0.11689550202730867)
(24, 0.11980067955891827)
(25, 0.12266901607110528)
(26, 0.1253510422850695)
(27, 0.1280225424934844)
(28, 0.13049825899868214)
(29, 0.1326350381251921)
(30, 0.13478234325725136)
(31, 0.13654439658620587)
(32, 0.1390706379180403)
(33, 0.1408421646519892)
(34, 0.14338314239159267)
(35, 0.1455199215181026)
(36, 0.14783143233673113)
(37, 0.14981768958388594)
(38, 0.15161763653281798)
(39, 0.1534238990850796)
(40, 0.155065955950772)
(41, 0.15722378708838056)
(42, 0.15872690068082204)
(43, 0.16040158816371727)
(44, 0.16183733532064318)
(45, 0.1637793833444909)
(46, 0.16532881136134936)
(47, 0.16706033927421088)
(48, 0.16852555924667484)
(49, 0.17038234662557314)
(50, 0.1720138774857162)
(51, 0.17389276947626806)
(52, 0.17564429679967325)
(53, 0.17737371951142492)
(54, 0.17924945370031198)
(55, 0.1804652073412573)
(56, 0.18205673938031297)
(57, 0.18361669340272074)
(58, 0.1856313708648587)
(59, 0.1868734395196773)
(60, 0.18876812051855313)
(61, 0.19011650182941975)
(62, 0.19135646528312847)
(63, 0.19294799732218415)
(64, 0.1944974253390426)
(65, 0.1957973870243824)
(66, 0.19690893321038955)
(67, 0.1983194179539971)
(68, 0.19960780103323267)
(69, 0.20106038979903745)
(70, 0.2027550766924764)
(71, 0.2035771577258775)
(72, 0.20463817908524798)
(73, 0.20571393685238748)
(74, 0.20727178567368537)
(75, 0.20806123608988364)
(76, 0.20934119836467974)
(77, 0.21071905249108444)
(78, 0.21211480082692297)
(79, 0.21327897704067666)
(80, 0.21479472183977733)
(81, 0.21632941344886675)
(82, 0.21753779888592756)
(83, 0.21858618903863886)
(84, 0.21964721039800933)
(85, 0.2208103340112081)
(86, 0.2216250468407247)
(87, 0.22309026681318866)
(88, 0.22429444184802974)
(89, 0.22513757489252947)
(90, 0.2258954472920798)
(91, 0.22694910044756575)
(92, 0.22753013595388766)
(93, 0.2285090544699735)
(94, 0.22959744344377217)
(95, 0.23039741986551973)
(96, 0.23100371778516)
(97, 0.23212684257727137)
(98, 0.2334678556842535)
(99, 0.23419730786882068)
(100, 0.2349341282572724)
(101, 0.2356783168496086)
(102, 0.2368593346722412)
(103, 0.23794351324382015)
(104, 0.23870980644780992)
(105, 0.23970451397221973)
(106, 0.2409318462192693)
(107, 0.2414949875161574)
(108, 0.24251811525555034)
(109, 0.2433212494789627)
(110, 0.2444791100893868)
(111, 0.24482962607417882)
(112, 0.24600853869570155)
(113, 0.246841145734652)
(114, 0.24804111036727333)
(115, 0.24876740475017572)
(116, 0.2498663197295237)
(117, 0.25085155384893915)
(118, 0.25234203623472146)
(119, 0.25346937142905257)
(120, 0.2543535558951946)
(121, 0.25524510856522115)
(122, 0.2557587776360275)
(123, 0.25705347631859266)
(124, 0.2579671336002728)
(125, 0.2588881590858374)
(126, 0.26008180811512915)
(127, 0.2612849305494153)
(128, 0.26249752638869583)
(129, 0.26276909733186804)
(130, 0.2640006399811373)
