count,cumulative proportion,cumulative unique words
1, 0.0153753363058773, 14607
2, 0.02586344823520991, 19589
3, 0.03411794178697891, 22203
4, 0.041401937627101516, 23933
5, 0.04772280395946225, 25134
6, 0.05399419806574122, 26127
7, 0.05921088641597932, 26835
8, 0.0641960026441326, 27427
9, 0.06888533811635025, 27922
10, 0.0735062545524974, 28361
11, 0.07788296765990055, 28739
12, 0.08169759207097053, 29041
13, 0.0854332714404207, 29314
14, 0.08913210979044828, 29565
15, 0.09244780153848096, 29775
16, 0.09590033135865468, 29980
17, 0.09912128905674358, 30160
18, 0.10238014037481, 30332
19, 0.10576004075669349, 30501
20, 0.10864416627720445, 30638
21, 0.1111198827824022, 30750
22, 0.11401453430846249, 30875
23, 0.11689550202730867, 30994
24, 0.11980067955891827, 31109
25, 0.12266901607110528, 31218
26, 0.1253510422850695, 31316
27, 0.1280225424934844, 31410
28, 0.13049825899868214, 31494
29, 0.1326350381251921, 31564
30, 0.13478234325725136, 31632
31, 0.13654439658620587, 31686
32, 0.1390706379180403, 31761
33, 0.1408421646519892, 31812
34, 0.14338314239159267, 31883
35, 0.1455199215181026, 31941
36, 0.14783143233673113, 32002
37, 0.14981768958388594, 32053
38, 0.15161763653281798, 32098
39, 0.1534238990850796, 32142
40, 0.155065955950772, 32181
41, 0.15722378708838056, 32231
42, 0.15872690068082204, 32265
43, 0.16040158816371727, 32302
44, 0.16183733532064318, 32333
45, 0.1637793833444909, 32374
46, 0.16532881136134936, 32406
47, 0.16706033927421088, 32441
48, 0.16852555924667484, 32470
49, 0.17038234662557314, 32506
50, 0.1720138774857162, 32537
51, 0.17389276947626806, 32572
52, 0.17564429679967325, 32604
53, 0.17737371951142492, 32635
54, 0.17924945370031198, 32668
55, 0.1804652073412573, 32689
56, 0.18205673938031297, 32716
57, 0.18361669340272074, 32742
58, 0.1856313708648587, 32775
59, 0.1868734395196773, 32795
60, 0.18876812051855313, 32825
61, 0.19011650182941975, 32846
62, 0.19135646528312847, 32865
63, 0.19294799732218415, 32889
64, 0.1944974253390426, 32912
65, 0.1957973870243824, 32931
66, 0.19690893321038955, 32947
67, 0.1983194179539971, 32967
68, 0.19960780103323267, 32985
69, 0.20106038979903745, 33005
70, 0.2027550766924764, 33028
71, 0.2035771577258775, 33039
72, 0.20463817908524798, 33053
73, 0.20571393685238748, 33067
74, 0.20727178567368537, 33087
75, 0.20806123608988364, 33097
76, 0.20934119836467974, 33113
77, 0.21071905249108444, 33130
78, 0.21211480082692297, 33147
79, 0.21327897704067666, 33161
80, 0.21479472183977733, 33179
81, 0.21632941344886675, 33197
