hidden state,hidden state
0,14107
1,4813
2,43371
3,9734
4,9745
5,15121
6,8869
7,48647
8,9926
9,57115
10,54511
11,25474
12,17931
13,22631
14,7768
15,3940
16,9438
17,15039
18,11362
19,18062
20,20866
21,73812
22,11488
23,36451
24,20268
25,6118
26,13117
27,55971
28,7200
29,8460
30,8323
31,25090
32,15210
33,11541
34,21136
35,23883
36,41457
37,8106
38,16352
39,65868
40,8735
41,7115
42,24309
43,6294
44,4927
